Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Birth country,Passport country,Foot,Height,Weight,On loan,Succ. def. per 90,Def duels per 90,Def duels won %,Aerial duels per 90,Aerial duels won %,Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Succ. att. actions,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals total,Head goals per 90,Shots total,Shots per 90,Shots on target %,"Goal conv., %",Assists per 90,Crosses per 90,"Crosses, %",Crosses from left per 90,"Crosses from left, %",Crosses from right per 90,"Crosses from right, %",Crosses to goalie box per 90,Dribbles per 90,Dribbles succ. %,Off duels per 90,Off duels won %,Touches in box per 90,Progressive runs per 90,Passes per 90,Passes acc. %,Fwd passes per 90,Fwd passes acc. %,Back passes per 90,Back passes acc. %,Lat passes per 90,Lat passes acc. %,Sh/m passes per 90,Sh/m passes acc. %,Lng passes per 90,Lng passes acc. %,"Avg pass length, m","Avg lng pass length, m",xA per 90,Second assists per 90,Third assists per 90,Smt passes per 90,Smt passes acc. %,Key passes per 90,Final 3rd passes per 90,Final 3rd passes acc. %,Passes to penalty area per 90,Passes to penalty area acc. %,Thru passes per 90,Thru passes acc. %,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Goals total,Goals per 90,Shots total,Shots per 90,Clean sheets,Save %,xG against,xG against per 90,Back passes to GK per 90,Exits per 90,Punches per 90,"Punches, %",Claims per 90,Claim/punch ratio,Aerial duels per 90,Aerial duels won %,FKs per 90,DFKs per 90,DFKs on target %,Corners per 90,Penalties taken,Penalty conversion %,League
V. Hedenstad,Rosenborg,RB,29,700000,2020-12-31,9,805,0,0.03,2,0.84,Norway,Norway,right,178,74,no,8.5,6.6,61.02,0.89,50,0,0,0.22,4.47,5.94,1.01,1,0.11,0,0,1.79,0,0,0,0,0,0,2,0.22,50,0,0.22,2.24,35,0.34,66.67,1.9,29.41,0.11,1.9,41.18,3.69,42.42,0.45,0.89,40.7,80.77,15.32,73.72,4.7,97.62,14.42,85.27,35.33,87.97,3.35,33.33,17.25,26.6,0.09,0,0,0.45,25,0.11,6.71,70,2.12,42.11,0.89,12.5,0.34,1.01,8.72,76.92,0,,0,,0,0,0,0,0.67,,,,,,,,0.67,0.11,0,1.57,0,0,Norwegian First Div
P. Helland,Rosenborg,"RW, RWF, RAMF",30,700000,2020-12-31,11,808,2,1.96,3,3.05,Norway,Norway,left,186,84,no,3.12,6.01,33.33,1.11,40,0.11,0.15,0,1,1.34,1.78,4,0.45,0,0,5.9,0.22,2,0.22,0.22,1,0.11,26,2.9,30.77,7.692,0.33,3.79,35.29,0.45,25,3.34,36.67,0.78,6.35,52.63,10.36,44.09,2.9,1.56,25.51,69.43,6.57,67.8,4.23,92.11,9.8,65.91,18.49,79.52,3.45,54.84,22.51,38.28,0.34,0,0,0.78,42.86,0.22,2.78,56,5.01,57.78,1.34,33.33,1.56,1.45,6.13,85.45,0,,0,,0,0,0,0,0.22,,,,,,,,2.78,0.56,60,4.57,0,0,Norwegian First Div
A. Konradsen,Rosenborg,"LCMF3, LCMF",30,700000,2021-12-31,3,96,0,0.56,0,0,Norway,Norway,right,183,76,no,6.56,4.69,60,1.88,50,0.94,1.58,0,2.81,4.74,1.88,0,0,0,0,5.63,0,0,0,0.52,0,0,5,4.69,40,0,0,1.88,50,1.88,50,0,0,0,4.69,40,15.94,29.41,4.69,4.69,49.69,79.25,15.94,52.94,10.31,100,14.06,86.67,46.88,80,0.94,100,11.35,2.81,0,0,0,2.81,33.33,0,8.44,66.67,2.81,66.67,0,0,0.94,0.94,6.56,42.86,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,Norwegian First Div
M. Bjørnbak,Molde,RCB,28,700000,2022-12-31,11,1027,0,0.52,0,0.09,Norway,Norway,right,193,90,no,8.15,4.38,60,3.94,75.56,0,0,0.61,5.52,7.84,1.31,3,0.26,0,0,0.44,0,0,0,0.05,0,0,4,0.35,50,0,0,0.09,0,0.09,0,0,0,0,0.35,75,1.58,61.11,0.7,0.61,52.49,89.82,23.14,82.2,1.67,100,24.01,97.08,47.06,94.04,5.61,54.69,22.02,43.53,0.01,0,0,0.09,0,0,3.59,60.98,0.26,0,0.18,0,0.18,0,7.97,71.43,0,,0,,0,0,0,0,1.05,,,,,,,,0,0,0,0,0,0,Norwegian First Div
S. Gregersen,Molde,LCB,25,700000,2020-12-31,3,289,1,0.38,0,0,Norway,Norway,right,191,83,no,9.97,6.54,66.67,5.61,83.33,0.31,0.51,0.31,5.29,8.64,1.25,0,0,0,0,1.25,0.31,1,0.31,0.12,0,0,1,0.31,100,100,0,0,0,0,0,0,0,0,0.93,100,1.87,100,0.62,0.93,47.34,90.13,18.06,82.76,1.25,100,23.36,96,42.66,92.7,4.67,66.67,21.87,42.44,0,0,0,0,0,0,4.67,60,0,0,0,0,0,0,7.79,76,0,,0,,0,0,0,0,0.93,,,,,,,,0,0,0,0,0,0,Norwegian First Div
A. Salétros,Rostov,"RCMF, LCMF",24,700000,2022-06-30,10,950,0,0.55,2,1.78,Sweden,Sweden,left,183,73,no,7.29,6.82,61.11,0.76,37.5,0.09,0.11,0.09,3.03,3.52,0.76,1,0.09,0,0,2.56,0,0,0,0.05,0,0,14,1.33,14.29,0,0.19,2.18,52.17,0.76,50,1.42,53.33,0.19,1.71,50,3.79,50,0.66,2.18,48.13,85.04,16.29,72.67,7.29,96.1,19.89,90.48,40.17,90.33,6.73,63.38,21.19,38.02,0.17,0,0,1.04,36.36,0.19,9,77.89,4.36,54.35,1.42,40,1.52,0.66,10.52,83.78,0,,0,,0,0,0,0,0.47,,,,,,,,1.71,0.19,50,2.75,0,0,Norwegian First Div
K. Junker,Bodø / Glimt,CF,26,700000,2022-12-31,11,875,10,5.76,4,2.26,Denmark,Denmark,right,186,73,no,2.98,2.67,46.15,4.32,42.86,0.51,0.88,0.1,1.23,2.11,1.03,0,0,0,0,2.78,1.03,10,1.03,0.59,1,0.1,25,2.57,56,40,0.41,0.51,0,0.41,0,0.1,0,0,1.44,57.14,5.14,46,5.04,0.31,17.49,75.29,3.29,75,4.94,85.42,4.53,65.91,16.66,77.78,0.41,50,13.35,12.98,0.23,0,0.1,0.93,55.56,0.82,1.13,72.73,1.23,41.67,0.72,42.86,2.26,0,1.54,86.67,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,Norwegian First Div
F. Haugen,Brann,"AMF, RCMF3",28,700000,2021-06-30,10,618,0,0.92,2,3.16,Norway,Norway,right,182,76,no,5.39,5.24,52.78,2.18,33.33,0.29,0.45,0.15,2.33,3.61,1.17,0,0,0,0,3.2,0,0,0,0.13,0,0,13,1.89,23.08,0,0.29,3.79,30.77,0.44,33.33,3.35,30.43,1.46,1.89,38.46,3.5,25,2.77,0.58,43.11,76.01,14.56,68,7.57,96.15,13.83,71.58,35.1,85.06,4.51,38.71,21.42,34.12,0.46,0.15,0,2.18,40,0.44,6.26,62.79,6.84,53.19,2.62,44.44,2.91,1.17,7.86,90.74,0,,0,,0,0,0,0,0.15,,,,,,,,2.33,0.29,0,6.41,0,0,Norwegian First Div
F. Valenčič,Stabæk II,"AMF, CF, RW",28,600000,2021-12-31,4,111,0,0.09,0,0.04,Slovenia,Slovenia,left,183,81,no,3.24,3.24,75,5.68,42.86,0,0,0,0.81,1.36,0,0,0,0,0,2.43,0,0,0,0.07,0,0,3,2.43,33.33,0,0,0,0,0,0,0,0,0,4.05,40,7.3,55.56,0.81,0.81,32.43,80,8.11,50,6.49,75,10.54,92.31,30.81,84.21,1.62,0,17.24,19.84,0.03,0,0,0,0,0,3.24,50,0,0,0.81,0,0.81,0,3.24,75,0,,0,,0,0,0,0,0,,,,,,,,2.43,0.81,0,0.81,0,0,Norwegian First Div
G. Åsen,Rosenborg,"LCMF, DMF, LDMF",29,600000,2022-12-31,11,724,0,0.85,1,0.43,Norway,Norway,left,182,71,no,7.21,4.97,57.5,3.11,56,0.5,0.71,0.87,3.85,5.5,0.87,2,0.25,0,0,2.86,0,0,0,0.11,0,0,9,1.12,22.22,0,0.12,1.62,38.46,1.49,33.33,0.12,100,0.25,2.36,73.68,5.22,42.86,1.86,1.24,41.77,81.25,12.68,69.61,6.09,93.88,15.54,87.2,37.91,84.26,2.24,61.11,17.39,23.25,0.05,0,0.25,0.87,28.57,0.12,7.33,79.66,3.23,65.38,1.49,41.67,1.99,0.75,7.33,71.19,0,,0,,0,0,0,0,0,,,,,,,,0.12,0,0,0.12,0,0,Norwegian First Div
