Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Birth country,Passport country,Foot,Height,Weight,On loan,Succ. def. per 90,Def duels per 90,Def duels won %,Aerial duels per 90,Aerial duels won %,Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Succ. att. actions,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals total,Head goals per 90,Shots total,Shots per 90,Shots on target %,"Goal conv., %",Assists per 90,Crosses per 90,"Crosses, %",Crosses from left per 90,"Crosses from left, %",Crosses from right per 90,"Crosses from right, %",Crosses to goalie box per 90,Dribbles per 90,Dribbles succ. %,Off duels per 90,Off duels won %,Touches in box per 90,Progressive runs per 90,Passes per 90,Passes acc. %,Fwd passes per 90,Fwd passes acc. %,Back passes per 90,Back passes acc. %,Lat passes per 90,Lat passes acc. %,Sh/m passes per 90,Sh/m passes acc. %,Lng passes per 90,Lng passes acc. %,"Avg pass length, m","Avg lng pass length, m",xA per 90,Second assists per 90,Third assists per 90,Smt passes per 90,Smt passes acc. %,Key passes per 90,Final 3rd passes per 90,Final 3rd passes acc. %,Passes to penalty area per 90,Passes to penalty area acc. %,Thru passes per 90,Thru passes acc. %,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Goals total,Goals per 90,Shots total,Shots per 90,Clean sheets,Save %,xG against,xG against per 90,Back passes to GK per 90,Exits per 90,Punches per 90,"Punches, %",Claims per 90,Claim/punch ratio,Aerial duels per 90,Aerial duels won %,FKs per 90,DFKs per 90,DFKs on target %,Corners per 90,Penalties taken,Penalty conversion %,League
B. Kessel,Eintracht Braunschweig,"RB, RCB",32,275000,2021-06-30,35,2593,4,1.6,2,3.69,Germany,Germany,right,191,83,no,8.78,6.11,51.14,4.37,56.35,0.66,0.79,0.42,5,5.99,1.39,9,0.31,0,0,3.71,0.14,4,0.14,0.06,2,0.07,19,0.66,42.11,21.053,0.07,3.68,35.85,0,0,3.64,35.24,0.73,4.06,51.28,6.18,53.37,1.04,1.63,29.26,70.58,10.9,59.55,3.44,88.89,10.34,81.21,21.8,82.01,4.03,40.52,21.67,33.77,0.13,0.03,0,0.07,50,0.56,4.17,45,2.78,50,0.31,22.22,0.49,1.25,6.87,75.25,0,,0,,0,0,0,0,0.52,,,,,,,,0,0,0,0,0,0,German Third Division
F. Schröter,Unterhaching,CF,24,225000,2021-06-30,33,2586,8,6.98,4,2.83,Germany,Germany,right,177,70,no,3.69,3.83,55.45,2.82,28.4,0.28,0.37,0.17,1.29,1.69,1.11,4,0.14,0,0,2.71,0.28,8,0.28,0.24,1,0.03,51,1.77,45.1,15.686,0.14,1.22,20,0.56,18.75,0.63,22.22,0.14,3.34,50,11.76,34.91,3.17,1.11,12.25,69.89,2.05,55.93,3.27,84.04,4.28,74.8,10.34,76.09,0.8,65.22,19.31,19.37,0.1,0.07,0,0.24,0,0.31,0.97,46.43,0.7,60,0.17,0,0.73,0.21,1.43,51.22,0,,0,,0,0,0,0,0.1,,,,,,,,0.1,0.03,0,0.07,0,0,German Third Division
A. Sicker,MSV Duisburg,LB,23,275000,2022-06-30,30,2581,0,0.28,2,1.9,Germany,Germany,left,184,67,no,15.52,10.36,61.62,2.69,53.25,0.28,0.39,0.38,8.86,12.29,1.22,5,0.17,1,0.03,2.3,0,0,0,0.01,0,0,8,0.28,0,0,0.07,1.43,24.39,1.43,24.39,0,0,0.38,2.48,63.38,5.13,53.06,0.38,1.43,56.7,82.72,25.07,74.55,6.8,93.85,17.5,89.04,49.55,88.67,6.07,44.83,19.86,37.66,0.07,0.07,0,0.77,50,0.21,8.44,68.18,1.99,38.6,0.91,30.77,0.56,0.31,12.94,75.2,0,,0,,0,0,0,0,1.67,,,,,,,,0.24,0,0,0.07,0,0,German Third Division
M. Bär,Eintracht Braunschweig,"RAMF, CF, LAMF",28,300000,2021-06-30,35,2559,8,4.81,7,3.95,Germany,Germany,right,184,80,no,4.71,4.22,54.17,4.04,34.78,0.49,0.61,0.04,1.93,2.38,0.91,5,0.18,0,0,3.76,0.28,8,0.28,0.17,3,0.11,53,1.86,60.38,15.094,0.25,1.79,35.29,0.63,38.89,1.09,35.48,0.28,3.73,47.17,9.71,38.04,2.99,1.23,24.02,79.5,5.91,70.83,5.87,91.62,7.56,78.6,20.75,85.08,1.69,54.17,17.37,27.19,0.14,0.07,0,0.49,50,0.63,2.04,65.52,1.83,44.23,0.56,43.75,0.6,0.6,3.09,79.55,0,,0,,0,0,0,0,0.18,,,,,,,,0.04,0,0,0,0,0,German Third Division
C. Früchtl,Bayern München II,GK,20,700000,2022-06-30,27,2559,0,0,1,0,Germany,Germany,left,193,84,no,1.55,0.07,50,0.25,85.71,0,0,0,1.51,2.23,0,2,0.07,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.07,50,0.32,88.89,0,0,24.23,89.84,14.14,83.58,0.07,50,9,99.22,17.83,99.01,6.4,64.29,26.82,42.89,0,0,0,0,0,0,0.81,52.17,0.14,25,0.04,100,0.11,0,5.06,68.06,46,1.62,125,4.4,5,63.2,41.99,1.48,0.04,0.91,0.14,75,0.46,3.25,0.25,85.71,,,,0,0,0,German Third Division
P. Hercher,Kaiserslautern,"LB, RB",24,250000,2022-06-30,29,2555,2,1.63,3,1.92,Germany,Germany,right,182,80,no,10.92,7.43,66.35,2.4,44.12,0.39,0.46,0.21,5.6,6.71,0.56,2,0.07,0,0,2.08,0.07,2,0.07,0.06,2,0.07,20,0.7,40,10,0.11,2.11,28.33,1.48,30.95,0.63,22.22,0.21,1.83,51.92,3.42,47.42,1.13,1.62,33.78,75.91,15.18,70.77,4.9,92.09,8.63,80.41,28.6,82.88,3.38,45.83,19.37,32.36,0.07,0.04,0.04,0.42,58.33,0.35,4.05,72.17,2.08,47.46,0.46,46.15,0.63,0.56,9.12,70.66,0,,0,,0,0,0,0,0.14,,,,,,,,0,0,0,0,0,0,German Third Division
P. Vlachodimos,Dynamo Dresden,"LW, LAMF",28,325000,2022-06-30,29,2554,5,4.96,4,6.87,Germany,"Germany, Greece",right,184,74,no,4.19,3.56,56.44,2.43,53.62,0.25,0.32,0.07,1.94,2.52,1.16,6,0.21,0,0,8.35,0.18,5,0.18,0.17,1,0.04,83,2.92,34.94,6.024,0.14,4.09,32.76,3.28,27.96,0.78,50,0.78,8,67.84,13.99,53.9,2.64,2.43,29.88,67.92,8.25,60.26,6.27,88.76,10.29,64.04,24.39,75.29,1.76,42,18.01,32.04,0.24,0.04,0.04,0.95,59.26,0.7,2.85,60.49,4.97,46.1,0.6,41.18,1.52,1.52,5.64,80.63,0,,0,,0,0,0,0,0.04,,,,,,,,1.66,0.42,25,2.64,0,0,German Third Division
D. Gabriele,Türkgücü-Ataspor,"CF, AMF",25,250000,2021-06-30,36,2546,9,9.1,2,2.75,Germany,"Germany, Italy",right,179,74,no,4.56,5.16,54.11,1.84,26.92,0.18,0.22,0.11,1.59,1.98,1.48,7,0.25,0,0,2.51,0.32,7,0.25,0.32,0,0,54,1.91,44.44,16.667,0.07,0.57,25,0.25,14.29,0.32,33.33,0.07,2.65,42.67,8.48,28.33,2.69,0.64,23.65,75.64,6.01,61.18,5.97,92.9,6.4,74.59,21.74,78.86,1.41,45,16.04,20.6,0.1,0,0,1.1,35.48,0.42,3.04,51.16,1.59,48.89,0.99,28.57,1.1,0.14,2.69,81.58,0,,0,,0,0,0,0,0.18,,,,,,,,0.74,0.25,28.57,1.31,2,100,German Third Division
M. Kobylański,Eintracht Braunschweig,"AMF, RCMF3, RCMF",26,500000,2022-06-30,33,2525,18,9.95,9,7.27,Germany,"Germany, Poland",right,179,77,no,3.92,4.03,50.44,1.5,35.71,0.18,0.21,0,1.71,2.06,0.68,4,0.14,0,0,2.74,0.64,16,0.57,0.35,2,0.07,81,2.89,43.21,22.222,0.32,1.32,40.54,0.36,40,0.96,40.74,0.36,1.64,34.78,4.42,29.84,1.82,0.71,31.01,75.98,9.45,60,6.49,93.41,9.66,78.97,26.34,81.46,3.81,49.53,19.17,34.79,0.26,0.14,0.11,1.18,33.33,0.39,5.24,57.82,2.28,53.13,1.53,25.58,0.75,0.53,5.1,69.23,0,,0,,0,0,0,0,0.25,,,,,,,,2.6,0.32,11.11,3.85,2,100,German Third Division
R. Becker,Eintracht Braunschweig,"RCB, RCB3, RB",23,275000,2022-06-30,31,2517,2,1.73,1,0.5,Germany,Germany,right,182,79,no,11.23,6.9,64.77,3.83,65.42,0.89,1.08,0.89,5.86,7.09,1.29,11,0.39,0,0,0.64,0.07,2,0.07,0.06,1,0.04,11,0.39,63.64,18.182,0.04,0.36,30,0,0,0.36,30,0,0.39,72.73,1.29,61.11,0.57,0.54,30.64,82.85,13.55,73.35,3.61,93.07,10.26,93.38,26.21,88.68,4.18,50.43,21.44,34.43,0.02,0.04,0.04,0.04,0,0.11,4.11,67.83,0.54,46.67,0.11,33.33,0.32,0.11,6.58,66.3,0,,0,,0,0,0,0,2.18,,,,,,,,0,0,0,0,0,0,German Third Division
T. Jacobsen,Werder Bremen II,"RCMF, LCMF, RCMF3",23,275000,2021-06-30,32,2501,1,1.06,1,1.3,Germany,Germany,left,182,77,no,10.76,8.38,57.51,3.78,31.43,1.22,1.55,0.18,4.71,5.95,1.69,6,0.22,1,0.04,1.73,0.04,1,0.04,0.04,0,0,25,0.9,16,4,0.04,1.26,37.14,0.5,42.86,0.65,38.89,0.07,2.38,42.42,6.87,40.31,0.86,0.83,37.39,80.46,11.62,69.35,7.45,92.27,12.38,85.47,31.92,86.13,4.39,51.64,19.06,34.22,0.05,0,0,0.43,25,0.25,4.93,63.5,2.3,43.75,1.33,29.73,0.79,0.47,6.23,68.21,0,,0,,0,0,0,0,0.65,,,,,,,,0.14,0,0,0.07,0,0,German Third Division
M. Christiansen,Waldhof Mannheim,"RDMF, RCMF, LCMF",23,350000,2021-06-30,29,2485,2,3.01,2,3.32,Germany,Germany,right,185,82,no,10.58,8.15,58.22,4.09,49.56,1.59,2.21,0.36,4.24,5.87,1.48,7,0.25,1,0.04,1.99,0.07,2,0.07,0.11,0,0,33,1.2,33.33,6.061,0.07,0.47,23.08,0.11,0,0.36,30,0.07,1.74,60.42,5.22,41.67,1.23,1.27,49.18,86.67,14.09,78.41,8.66,91.21,19.77,92.12,45.96,88.42,3.04,69.05,18.87,33.93,0.12,0,0.07,0.72,60,0.29,5.29,73.97,1.45,55,0.62,58.82,0.72,0.11,7.32,68.32,0,,0,,0,0,0,0,0.98,,,,,,,,0.04,0,0,0,0,0,German Third Division
P. Breier,Hansa Rostock,"CF, RW",28,300000,2023-06-30,36,2471,15,10.58,3,4.46,Germany,Germany,right,185,80,no,4.44,3.39,64.52,7.36,32.67,0.07,0.1,0.18,2.19,2.99,0.55,1,0.04,0,0,3.21,0.55,15,0.55,0.39,0,0,54,1.97,59.26,27.778,0.11,1.86,29.41,0.44,41.67,1.42,25.64,0.33,1.71,63.83,6.26,40.7,4.26,0.66,27.75,68.77,6.96,46.07,6.01,93.33,8.27,70.48,24.62,73.08,1.46,42.5,16.31,23.74,0.16,0.11,0,1.17,34.38,0.73,2.95,58.02,2.95,38.27,0.95,30.77,1.38,0.55,3.13,62.79,0,,0,,0,0,0,0,0.04,,,,,,,,0,0,0,0.04,0,0,German Third Division
P. Hosiner,Dynamo Dresden,CF,31,325000,2022-06-30,28,2467,19,18.35,5,2.09,Austria,Austria,right,179,72,no,3.39,2.33,54.69,3.79,26.92,0.44,0.58,0.18,1.68,2.23,0.84,10,0.36,0,0,2.66,0.69,11,0.4,0.67,2,0.07,75,2.74,52,25.333,0.18,0.58,31.25,0.11,0,0.47,38.46,0.18,2.04,44.64,7.66,30,3.83,0.36,19.34,77.55,3.68,59.41,5.87,88.82,5.65,81.29,18.17,80.32,0.69,47.37,15.62,18.97,0.08,0.04,0,0.62,23.53,0.22,1.79,63.27,0.88,29.17,0.4,9.09,0.51,0.15,1.61,65.91,0,,0,,0,0,0,0,0.04,,,,,,,,0,0,0,0.11,9,88.889,German Third Division
G. Korte,Wehen Wiesbaden,"CF, LAMF, AMF",29,225000,2022-06-30,29,2466,6,6.38,5,4.82,Germany,"Germany, Italy",left,175,70,no,7.04,7.45,50,2.34,37.5,0.47,0.65,0.04,2.85,3.92,1.17,5,0.18,0,0,4.85,0.22,5,0.18,0.23,0,0,50,1.82,48,12,0.18,3.36,29.35,2.7,31.08,0.62,17.65,0.47,5.69,39.74,11.5,33.65,2.85,1.53,37.59,73.5,10.07,64.49,7.26,90.45,12.66,71.18,31.93,79.89,2.66,49.32,18.45,39.75,0.18,0.07,0.04,1.93,37.74,0.66,5.04,62.32,4.05,45.95,1.9,36.54,1.86,0.88,5.91,74.07,0,,0,,0,0,0,0,0.07,,,,,,,,0.04,0,0,0.4,1,100,German Third Division
L. Hufnagel,Unterhaching,"RCMF, LCMF, CF",26,250000,2021-06-30,34,2464,2,2.09,2,2.29,Germany,"Germany, Georgia",right,183,73,no,8.33,6.83,60.43,1.28,28.57,0.77,1.11,0.11,3.43,4.97,1.72,5,0.18,0,0,3,0.07,2,0.07,0.08,0,0,24,0.88,20.83,8.333,0.07,1.06,27.59,0.47,23.08,0.55,33.33,0.11,4.35,54.62,12.05,45.45,2.37,1.86,30.35,85.68,6.61,77.35,6.9,92.59,9.35,88.28,28.42,88.95,0.95,53.85,15.41,15.65,0.08,0.07,0,0.29,50,0.37,2.85,76.92,1.13,51.61,0.37,50,0.95,0.26,2.85,67.95,0,,0,,0,0,0,0,0.11,,,,,,,,0,0,0,0.11,0,0,German Third Division
P. Milde,Chemnitzer FC,"LB, LB5",25,175000,2022-06-30,31,2427,0,1.07,8,5.15,Germany,Germany,right,178,70,no,8.9,7.31,58.38,2.19,37.29,0.26,0.33,0.11,4.38,5.48,1.08,6,0.22,0,0,3.63,0,0,0,0.04,0,0,28,1.04,42.86,0,0.3,3.49,38.3,2.52,32.35,0.93,56,0.44,2.78,60,4.12,58.56,0.59,1.45,32.63,76.48,11.2,65.89,4.97,94.78,11.38,80.13,26.11,84.38,3.3,51.69,19.94,34.49,0.19,0.04,0.07,0.26,71.43,0.63,3.19,72.09,3.37,54.95,0.37,60,0.78,1.3,7.42,75,0,,0,,0,0,0,0,0.89,,,,,,,,1.48,0.22,33.33,2.74,0,0,German Third Division
D. Dressel,1860 München,"LCMF3, RCMF3, LCMF",21,350000,2021-06-30,33,2425,6,3.77,1,1.17,Germany,Germany,left,185,75,no,8.83,6.35,55.56,2.52,51.47,0.67,0.86,0.22,4.64,5.98,1,4,0.15,0,0,2.71,0.22,6,0.22,0.14,1,0.04,54,2,37.04,11.111,0.04,0.78,19.05,0.71,21.05,0.07,0,0.04,2.75,56.76,8.16,47.73,1.37,1.37,32.25,79.4,10.58,65.26,6.16,91.57,10.5,86.93,28.76,84.39,2.82,44.74,19.46,32.01,0.04,0.19,0.04,0.63,41.18,0.19,6.75,69.78,1.52,53.66,1.34,36.11,0.93,0.11,5.75,73.55,0,,0,,0,0,0,0,0.52,,,,,,,,0.04,0,0,0,0,0,German Third Division
J. Fejzić,Eintracht Braunschweig,GK,34,200000,2021-06-30,26,2423,0,0,1,0.21,Bosnia and Herzegovina,Bosnia and Herzegovina,right,198,95,no,1.34,0.07,50,0.11,100,0.04,0.05,0,1.26,1.54,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,83.77,13.89,79.41,0,0,4.49,96.69,8.28,97.76,10.25,72.46,41.25,52.89,0.01,0,0.07,0,0,0.07,4.2,69.91,0.26,14.29,0.15,25,0.07,0,8.25,86.94,39,1.45,135,5.01,5,71.11,40.24,1.49,0,1.23,0.19,40,0.85,4.6,0.11,100,,,,0,0,0,German Third Division
A. Berzel,Türkgücü-Ataspor,"LCB, LCB3",28,250000,2022-06-30,28,2394,2,1.86,1,0.56,Germany,Germany,right,184,79,no,9.25,5.6,68.46,4.92,64.89,0.41,0.5,0.34,5,6.06,1.13,10,0.38,0,0,0.53,0.08,2,0.08,0.07,2,0.08,13,0.49,15.38,15.385,0.04,0.23,16.67,0.08,50,0.15,0,0.04,0.53,64.29,1.32,60,0.79,0.49,41.69,80.79,17.56,63.38,3.31,97.73,18.76,93.79,33.68,92.19,8.08,34.42,27.13,45.18,0.02,0.04,0,0.19,40,0.11,7.93,49.29,1.32,20,1.28,20.59,0.41,0.04,8.53,70.48,0,,0,,0,0,0,0,2.48,,,,,,,,0.08,0,0,0,0,0,German Third Division
K. Gehring,Sonnenhof Großaspach,"LCB, RCB, RB",32,150000,2021-06-30,29,2392,2,2.1,0,0.59,Germany,Germany,right,193,85,no,7.98,4.44,56.78,3.88,52.43,0.04,0.05,0.6,5.42,7.11,0.68,8,0.3,1,0.04,0.6,0.08,2,0.08,0.08,1,0.04,13,0.49,30.77,15.385,0,0.68,44.44,0.19,40,0.49,46.15,0.04,0.38,40,0.87,34.78,1.05,0.6,32.77,84.96,13.17,75.14,2.48,98.48,13.17,93.43,29.2,88.79,3.01,56.25,19.5,31.44,0.02,0,0,0,0,0.08,3.16,63.1,0.79,38.1,0.15,0,0.19,0.26,5.98,68.55,0,,0,,0,0,0,0,1.81,,,,,,,,0,0,0,0,0,0,German Third Division
L. Mai,Darmstadt 98,"LCB, RCB",20,1000000,2021-06-30,26,2380,1,1.08,1,0.48,Germany,Germany,right,189,84,yes,12.18,6.39,69.82,2.95,48.72,1.06,1.55,0.57,6.66,9.76,0.72,3,0.11,0,0,1.63,0.04,1,0.04,0.04,0,0,7,0.26,42.86,14.286,0.04,0.11,0,0.04,0,0.08,0,0.04,1.82,83.33,3.29,75.86,0.45,1.36,63.19,92.34,25.15,85.86,2.46,95.38,29.87,97.47,55.74,96.27,7.87,64.9,22.31,41.42,0.02,0.04,0.08,0.11,0,0.11,7.37,72.31,0.61,37.5,0.91,33.33,0.49,0,11.31,82.61,0,,0,,0,0,0,0,1.66,,,,,,,,0,0,0,0,0,0,German Third Division
D. Stahl,Unterhaching,"LCMF, RCMF",31,225000,2022-06-30,26,2379,0,1.84,0,0.3,Germany,Germany,right,182,79,no,8.51,4.84,67.19,4.73,60.8,0.76,1.06,0.45,4.5,6.29,1.17,6,0.23,0,0,0.15,0,0,0,0.07,0,0,20,0.76,5,0,0,0.11,66.67,0.04,100,0.08,50,0,0.23,16.67,2.04,53.7,0.76,0.42,44.72,86.89,12.22,72.76,6.7,94.35,19.82,93.51,39.8,90.21,4.96,61.07,20,33.89,0.01,0,0,0,0,0,5.83,73.38,0.49,61.54,0.23,33.33,0.34,0.08,6.58,72.41,0,,0,,0,0,0,0,1.13,,,,,,,,0,0,0,0,0,0,German Third Division
M. Langer,Chemnitzer FC,"RCMF, LCMF",30,150000,2023-06-30,29,2373,3,3.84,0,0.5,Germany,Germany,left,189,79,no,11.26,8.87,64.1,5.99,50,0.49,0.61,0.15,5.08,6.29,1.74,9,0.34,0,0,1.37,0.11,3,0.11,0.15,1,0.04,30,1.14,36.67,10,0,0.15,75,0.04,0,0.11,100,0.04,0.8,47.62,3.45,39.56,0.99,0.49,41.49,82.45,15.78,69.47,7.24,92.15,13.5,90.45,36.18,87.11,5.2,49.64,19.95,37.35,0.02,0.08,0,0.83,54.55,0.11,7.17,65.08,1.44,47.37,1.37,38.89,0.64,0.11,7.93,76.08,0,,0,,0,0,0,0,1.21,,,,,,,,0.11,0.11,0,0,0,0,German Third Division
M. Hiller,1860 München,GK,23,250000,2022-06-30,25,2373,0,0,0,0.38,Germany,Germany,right,188,85,no,2.24,0.11,33.33,0.64,94.12,0,0,0,2.2,2.83,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.37,80.26,14.94,74.62,0,0,4.7,96.77,8.84,98.28,11.53,66.45,39.65,52.73,0.01,0,0,0,0,0,4.66,67.48,0.15,0,0.23,33.33,0.15,0,9.18,79.34,33,1.25,110,4.17,4,70,32.39,1.23,0,1.59,0.27,28.57,0.99,3.71,0.64,94.12,,,,0,0,0,German Third Division
O. Erdogan,Preußen Münster,"RCB3, RCB, LCMF",21,200000,2022-06-30,32,2366,0,0.3,0,0.22,Germany,Germany,right,185,78,no,11.3,7.91,60.1,4.15,42.2,0.61,0.8,0.65,5.93,7.83,1.1,7,0.27,0,0,0.61,0,0,0,0.01,0,0,5,0.19,40,0,0,0.08,50,0,0,0.08,50,0,1.07,46.43,2.89,36.84,0.11,0.95,35.45,84.76,14.53,74.87,4.03,92.45,12.82,93.47,30.85,89.77,4.72,53.23,19.12,31.97,0.01,0,0.04,0.11,0,0,5.52,72.41,0.57,33.33,0.46,16.67,0.34,0.04,6.73,67.8,0,,0,,0,0,0,0,1.64,,,,,,,,0,0,0,0.04,0,0,German Third Division
M. Seegert,Waldhof Mannheim,"LCB, LB",26,250000,2022-06-30,27,2360,4,2.39,1,0.19,Germany,Germany,right,186,74,no,10.91,5.53,64.14,5.91,49.03,0.99,1.33,1.14,6.37,8.52,0.76,5,0.19,0,0,0.8,0.15,4,0.15,0.09,4,0.15,21,0.8,28.57,19.048,0.04,0.27,28.57,0.11,33.33,0.15,25,0,0.38,70,1.22,53.13,0.88,0.57,46.26,87.3,18.11,78.11,3.58,93.62,20.36,94.38,41.38,90.69,4.88,60.94,20.78,39.61,0.01,0,0.04,0.42,54.55,0.11,4.65,70.49,0.27,14.29,0.27,14.29,0.31,0.08,8.69,71.05,0,,0,,0,0,0,0,1.53,,,,,,,,0.11,0.11,0,0,0,0,German Third Division
L. Schnellbacher,Elversberg,"CF, LW",26,225000,2022-06-30,33,2356,5,7.08,4,3.35,Germany,Germany,right,180,76,no,3.74,3.09,49.38,9.36,44.08,0.92,1.17,0.15,1.3,1.65,1.07,4,0.15,0,0,2.02,0.19,5,0.19,0.27,0,0,50,1.91,46,10,0.15,1.22,21.88,0.57,20,0.65,23.53,0.19,2.1,32.73,6.53,31.58,3.25,0.61,20.21,71.46,4.58,62.5,4.74,84.68,6.11,69.38,17.69,76.24,1.49,51.28,16.74,26.21,0.13,0.04,0,0.31,62.5,0.42,2.14,50,1.3,52.94,0.19,60,1.07,0.19,2.25,69.49,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0.04,0,0,German Third Division
B. Koglin,Magdeburg,"RCB, LCB, LCB3",23,200000,2021-06-30,28,2356,0,1.33,0,0.14,Germany,Germany,right,186,77,no,10.16,7.37,67.36,4.24,53.15,0.31,0.38,0.42,4.89,6.13,0.84,6,0.23,0,0,0.99,0,0,0,0.05,0,0,15,0.57,33.33,0,0,0.31,37.5,0.08,50,0.23,33.33,0,0.96,68,1.76,47.83,0.53,1.03,40.61,81.84,17.15,70.16,2.94,92.21,17.5,92.58,32.01,89.38,8.6,55.11,23.88,40.88,0.01,0,0,0.31,12.5,0.04,7.91,61.35,1.15,46.67,0.84,22.73,0.46,0.11,9.82,72.37,0,,0,,0,0,0,0,1.72,,,,,,,,0.15,0.08,50,0,0,0,German Third Division
M. Hehne,Zwickau,"RCB3, RCMF, RCB",23,175000,2021-06-30,31,2344,2,0.77,0,0.59,Germany,Germany,right,186,77,no,11.17,7.06,61.41,4.22,45.45,0.96,1.19,0.58,5.87,7.31,1.04,6,0.23,0,0,0.81,0.08,2,0.08,0.03,0,0,5,0.19,80,40,0,0.69,38.89,0.08,50,0.61,37.5,0.12,0.77,50,2.61,38.24,0.65,0.61,25.69,74.59,12.59,65.85,1.5,97.44,8.18,84.04,19.93,79.77,5.15,58.96,20.55,31.46,0.02,0,0,0.04,0,0,5.99,62.18,1.38,47.22,0.27,28.57,0.61,0.27,7.26,69.84,0,,0,,0,0,0,0,0.73,,,,,,,,0,0,0,0,0,0,German Third Division
L. Daschner,MSV Duisburg,"AMF, LAMF, RAMF",21,350000,2021-06-30,34,2342,11,6.57,5,3.54,Germany,Germany,right,182,76,no,5.88,6.53,43.53,3.19,31.33,0.31,0.41,0,2.73,3.64,2,5,0.19,0,0,4.46,0.42,11,0.42,0.25,3,0.12,46,1.77,56.52,23.913,0.19,1.69,31.82,1,42.31,0.69,16.67,0.42,5.57,44.83,13.33,33.72,2.57,1.46,27.09,69.93,8.15,61.32,5.8,89.4,7.69,68,24.06,74.44,1.69,40.91,15.39,25.99,0.14,0,0,1.42,29.73,0.58,3,58.97,2.46,42.19,1.08,21.43,1.04,0.5,3.8,71.72,0,,0,,0,0,0,0,0.08,,,,,,,,0.08,0,0,0.61,0,0,German Third Division
H. Mörschel,Preußen Münster,"CF, LCMF, RCMF",22,250000,2021-06-30,34,2341,8,6.84,0,2.21,Dominican Republic,"Dominican Republic, Germany",right,190,82,no,5.81,4.84,52.38,6.15,50,0.08,0.1,0.19,3.19,4.1,1.27,8,0.31,0,0,2.69,0.31,6,0.23,0.26,0,0,52,2,36.54,15.385,0,0.69,33.33,0.15,75,0.5,23.08,0.15,3.04,48.1,8.88,34.2,1.92,0.69,31.83,80.8,8.69,65.04,7.84,93.63,9.92,87.6,29.14,84.17,2.19,49.12,17.63,24.8,0.09,0.08,0.04,0.58,46.67,0.19,3.96,69.9,1.69,63.64,0.5,15.38,1.04,0.23,4.69,70.49,0,,0,,0,0,0,0,0.35,,,,,,,,0.81,0.27,28.57,0.92,2,100,German Third Division
N. Feldhahn,Bayern München II,RCB,33,150000,2021-06-30,30,2340,0,1.11,1,0.03,Germany,Germany,right,189,91,no,11.08,6.19,69.57,5.58,55.86,0.23,0.35,0.5,6.54,9.86,0.81,6,0.23,0,0,1.15,0,0,0,0.04,0,0,11,0.42,18.18,0,0.04,0.08,50,0,0,0.08,50,0,1.19,77.42,3.5,59.34,0.38,1.15,56.04,88.19,26.5,80.55,2.62,91.18,22.38,95.7,48.12,93.13,8.08,58.57,20.87,36.55,0,0.08,0,0.27,42.86,0.04,7.65,65.83,1.31,29.41,1.08,21.43,0.58,0.04,11.42,80.81,0,,0,,0,0,0,0,1.62,,,,,,,,0,0,0,0,0,0,German Third Division
D. Köhn,Willem II,"LB, LWB",21,800000,2023-06-30,28,2316,2,0.86,3,1.69,Germany,"Germany, Ghana",left,180,71,no,10.34,6.41,61.82,2.25,50,0.43,0.64,0.31,5.95,8.84,1.52,7,0.27,0,0,3.42,0.08,2,0.08,0.03,0,0,29,1.13,34.48,6.897,0.12,2.91,32,2.88,32.43,0.04,0,0.27,5.09,38.17,9.95,39.45,0.62,2.41,40.22,78.55,13.13,66.86,8.51,94.52,12.94,82.28,33.07,86.6,4.86,51.2,19.89,34.22,0.07,0.12,0.04,0.47,33.33,0.51,5.25,65.93,3.89,53,0.82,42.86,1.13,1.01,8.67,73.99,0,,0,,0,0,0,0,0.89,,,,,,,,0.19,0.19,40,0,0,0,German Third Division
T. Thiele,Kaiserslautern,"CF, RW",29,275000,2021-06-30,33,2315,10,11.12,3,2.61,Germany,Germany,right,188,84,no,3.5,3.38,44.83,6.14,51.27,0.23,0.3,0.08,1.75,2.24,1.36,5,0.19,0,0,3.77,0.39,9,0.35,0.43,0,0,76,2.95,43.42,13.158,0.12,2.33,30,0.51,15.38,1.83,34.04,0.39,3.34,45.35,7.15,36.96,5.09,1.59,21.69,64.87,5.25,54.81,4,86.41,7.11,65.03,18.66,70.21,1.17,46.67,16.96,25.18,0.1,0.08,0.04,0.97,28,0.43,2.06,47.17,2.37,54.1,0.86,36.36,1.28,0.51,3.27,73.81,0,,0,,0,0,0,0,0.04,,,,,,,,0,0,0,0,1,100,German Third Division
